,text,label,path,chunk_pos,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,prob,stratum,ground_truth,note
25,#Resistance Remembers armed Antifa ‘martyr’ killed while attempting to set fire to immigrant detention site (RT) 16 July 2019,0,,,,,,,,,,,,,0.058294695,0-10%,,
26,UK: Moderate Socialists of Labour Party Are Actually a Secret Jew-hating Nazi Death Cult? - What? - BBC’s anti-Corbyn hatchet job fails to land blow - by Asa Winstanley (Lobby Watch) 11 July 2019,0,,,,,,,,,,,,,0.07384293,0-10%,,
27,Misogyny and Mass Shootings,0,,,,,,,,,,,,,0.03774411,0-10%,,
28,Is there a document full of socialist vocabulary anywhere on the internet?,0,,,,,,,,,,,,,0.064828366,0-10%,,
29,I don't know whether I'm a Social Democrat or Democratic Socialist,0,,,,,,,,,,,,,0.044398926,0-10%,,
30,We must kill nationalism,0,,,,,,,,,,,,,0.080127105,0-10%,,
31,"As this momentum spreads throughout the US workers, unions, and community groups need to rally in support of Starbucks workers to embolden them against management’s attempts to undermine the union.",0,,,,,,,,,,,,,0.03256296,0-10%,,
32,Tortured to death: Myanmar mass killings revealed,0,,,,,,,,,,,,,0.042435613,0-10%,,
33,Downturn in strike activity reflects COVID-19 recession but fails to capture many walkouts for worker safety,0,,,,,,,,,,,,,0.044287868,0-10%,,
34,Question for Norwegian social-democrats,0,,,,,,,,,,,,,0.05075172,0-10%,,
35,"The Impact of Chato Peredo, “Che’s Last Soldier,” on the MAS Party in Bolivia",0,,,,,,,,,,,,,0.032443434,0-10%,,
36,Spooks and the haunting of Russian Area Studies,0,,,,,,,,,,,,,0.09303056,0-10%,,
37,The National Question: Nations & Self-Determination | Socialism 101,0,,,,,,,,,,,,,0.05646404,0-10%,,
38,"Thoughts on why a lot of Americans aren’t working? US facing worst worker shortage since WW2, Goldman says",1,,,,,,,,,,,,,0.07280489,0-10%,,
39,"Now they have a Maoist Communist Party, Manipur",0,,,,,,,,,,,,,0.08557573,0-10%,,
40,"Florida GOP aims to preemptively ban ranked-choice voting, among other voting-obstruction legislation initiatives. Ranked choice voting is hailed as a more equitable voting system, leading to better representative for constituents.",0,,,,,,,,,,,,,0.07294785,0-10%,,
41,What are your thoughts on Youth Quotas?,0,,,,,,,,,,,,,0.055707205,0-10%,,
42,l social justice and human rights groups are warning hundreds of prisoners could be at risk of dying of COVID-19 as infec,0,/archives.kpfa.org/02/httpsarchives.kpfa.orgdata20200529Fri0600.mp3MERGED,94.0,news,politics,,,,,,,,,0.07977368,0-10%,,
43,Reporting Rape is Scary; New Laws May Make it Harder - New Title IX guidelines under Trump to into effect,0,,,,,,,,,,,,,0.0691597,0-10%,,
44,Join this Conservative server!,1,,,,,,,,,,,,,0.06432479,0-10%,,
45,U.S. CEO-to-worker pay ratio rose to 299:1 last year -union,0,,,,,,,,,,,,,0.048455555,0-10%,,
46,Democrat rot at the top,1,,,,,,,,,,,,,0.05326876,0-10%,,
47,"If this racist, right-wing Recall is successful, it will set a dangerous precedent across Seattle and the rest of the country. Clearly we need more Kshama’s in office, not fewer.",0,,,,,,,,,,,,,0.069000065,0-10%,,
48,"Guerrilla History: China, and the ""Western Left"" w/ Immanuel Ness (IB Part 2)",0,,,,,,,,,,,,,0.030638646,0-10%,,
49,How 'sex addiction' has historically been used to absolve white men,0,,,,,,,,,,,,,0.074598685,0-10%,,
50,Turkey's labor youth take action against war and exploitation,0,,,,,,,,,,,,,0.031896837,0-10%,,
51,A map of Latin America’s present: An interview with Héctor Béjar,0,,,,,,,,,,,,,0.032057934,0-10%,,
52,If the working people realised how powerful they are! there would be no Labour explotiation,0,,,,,,,,,,,,,0.07021333,0-10%,,
53,"ement who disagree with this decision, who would like us to fight on to the last ballot cast at the democratic convention",0,/anchor.fm/2t/httpsanchor.fmsd5c3124podcastplay14123297https3A2F2Fd3ctxlq1ktw2nl.cloudfront.net2Fproduction2F20204222F75589089480002714b7ece18df8.mp3MERGED,43.0,news,politics,,,,,,,,,0.088703275,0-10%,,
54,"Judith Butler on the culture wars, JK Rowling and living in “anti-intellectual times”",0,,,,,,,,,,,,,0.08095896,0-10%,,
55,Is This (co-housing) the Cure for the Loneliness of American Motherhood?,0,,,,,,,,,,,,,0.08913322,0-10%,,
56,Interview with a Young Greek Communist,0,,,,,,,,,,,,,0.046002794,0-10%,,
57,"Nepal's Crossroads: Without a people’s army, the people have nothing -- xpost",0,,,,,,,,,,,,,0.06352482,0-10%,,
58,Feminist Yearbook Quote,0,,,,,,,,,,,,,0.040118143,0-10%,,
59,What Biden’s Democracy Summit Is Missing: Democracy as it was envisioned was never about real people power. That’s what needs to change.,0,,,,,,,,,,,,,0.07567366,0-10%,,
60,Debating Immigration Policy w/Big Papa Fascist (Andrew Wilson) | The Crucible,0,,,,,,,,,,,,,0.084565476,0-10%,,
61,Day #6 of me posting a Socialist Leader for every day in January - Nyerere,0,,,,,,,,,,,,,0.03456337,0-10%,,
62,ASMR_Communist Manifesto: chapter I « Bourgeois and Proletarians » (ASMR leftist lectures series),0,,,,,,,,,,,,,0.06499766,0-10%,,
63,Journalist turned serial killer,1,,,,,,,,,,,,,0.0790614,0-10%,,
64,[Australia] NSW nurses and midwives protest unsustainable conditions,0,,,,,,,,,,,,,0.03790621,0-10%,,
65,"""The Role of Black Journalism in the Struggle for Freedom"" by Claudia Jones School for Political Education",0,,,,,,,,,,,,,0.034516722,0-10%,,
66,How Cinderella lost its original feminist edge in the hands of men,0,,,,,,,,,,,,,0.038478557,0-10%,,
67,"An urgent response to these firings is needed nationwide – we need a swift reaction from Starbucks workers and the broader community, using our collective power to injure Starbucks profits, which has been shown to be effective at winning workers their jobs back much more quickly",0,,,,,,,,,,,,,0.042815648,0-10%,,
68,Gamers need to be Socialists.,0,,,,,,,,,,,,,0.09249591,0-10%,,
69,Venezuela’s Chavez tweets for the revolution » peoplesworld,0,,,,,,,,,,,,,0.029928923,0-10%,,
70,"In the past year — despite a pandemic, protests over police shootings and a push for change — 943 people have been shot and killed by police. That brings to more than 6,400 the total number of victims of police violence since a year after the 2014 shooting of Michael Brown in Ferguson, Mo",0,,,,,,,,,,,,,0.07123958,0-10%,,
71,"4 Illinois Bills Expand Protections for Immigrant, Refugee Communities",0,,,,,,,,,,,,,0.0663706,0-10%,,
72,‘I don’t want sex with anyone’: the growing asexuality movement,0,,,,,,,,,,,,,0.08847864,0-10%,,
73,Analysis | Dear Republicans: Your favorite president wants you to get vaccinated,0,,,,,,,,,,,,,0.07868299,0-10%,,
74,"In “Time for Socialism,” Picketty overlooks the class struggle",0,,,,,,,,,,,,,0.0583678,0-10%,,
75,Texas actively begins state investigation of parents of trans child,1,,,,,,,,,,,,,0.07118544,0-10%,,
76,A Brief Sketch of Three Models of Democratic Economic Planning,0,,,,,,,,,,,,,0.08765997,0-10%,,
77,"Hey, comrades!",0,,,,,,,,,,,,,0.06652729,0-10%,,
78,Bury Class Society Before It Buries Us All: Eleanor Burke Leacock’s Vision for a Marxist Feminist Anthropology,0,,,,,,,,,,,,,0.027342012,0-10%,,
79,"Reproductive rights activist Deja Foxx on Being a Presidential Campaign Staffer at 19, Influencers, and Sexuality in Politics",0,,,,,,,,,,,,,0.0935189,0-10%,,
80,America’s racist prison society produces profits but not safety,0,,,,,,,,,,,,,0.09058363,0-10%,,
81,A Worker-Owned Press is the Only Free Press,0,,,,,,,,,,,,,0.09059306,0-10%,,
82,The Red Nation Podcast - Fear of a white genocide w/ Blanca Estevez and Austin Gonzalez of DSA International Committee,0,,,,,,,,,,,,,0.03545995,0-10%,,
83,'Women's rights are being trampled:' Voices from a protest march in Poland over near-total abortion ban,0,,,,,,,,,,,,,0.034127396,0-10%,,
84,Most Progressive/ Social Democratic Current U.S. Governor?,0,,,,,,,,,,,,,0.055190902,0-10%,,
85,Be careful of reactionary pretenders in this election season,0,,,,,,,,,,,,,0.07224809,0-10%,,
86,Poll: Citizens globally blast politicians' lack of action to combat climate change,0,,,,,,,,,,,,,0.07927687,0-10%,,
87,Marxist Winter School!,0,,,,,,,,,,,,,0.07763688,0-10%,,
88,Even The Most Successful Women Pay A Big Price In Pandemic,0,,,,,,,,,,,,,0.069876514,0-10%,,
89,The Cuban Five were fighting terrorism. Why did we put them in jail?,0,,,,,,,,,,,,,0.0889918,0-10%,,
90,ISIS fell with military might from Syrian Kurdish women,0,,,,,,,,,,,,,0.04264388,0-10%,,
91,Are the Left and the Right Much Different?,1,,,,,,,,,,,,,0.08384182,0-10%,,
92,Trump and allies try to redefine racism by casting White men as victims,0,,,,,,,,,,,,,0.060152233,0-10%,,
93,Weekly Discussion Thread [56],0,,,,,,,,,,,,,0.073984765,0-10%,,
94,REALITY SLAP: Larry Elder gives Black Lives Matter Leader a LECTURE on Crime and Poverty,1,,,,,,,,,,,,,0.09939673,0-10%,,
95,"[Germany] If the Traffic Lights(Greens,FDP,SPD) coalition is formed, Can SPD accomplish it's agenda?",0,,,,,,,,,,,,,0.07317721,0-10%,,
96,Books on UK political history,0,,,,,,,,,,,,,0.035024066,0-10%,,
97,Where does the right demonize critical race theory?,0,,,,,,,,,,,,,0.082776755,0-10%,,
98,Happy holidays! Socially distanced celebrations are a gift to queer families like mine,0,,,,,,,,,,,,,0.039383814,0-10%,,
99,A Call for Unity among Radical Feminists in the Fight to Amend the Equality Act,0,,,,,,,,,,,,,0.024420593,0-10%,,
100,"India puts a stop to state militias:  By using militias to fight terrorism and insurgency, India has aggravated armed conflicts. On the face of it, a ruling that declares illegal the raising of civilian militias to fight Maoists is to be welcomed. ",0,,,,,,,,,,,,,0.16236626,10-20%,,
101,"Trump's border separations left children, parents with severe trauma, study finds",0,,,,,,,,,,,,,0.10575752,10-20%,,
102,White Agorism,1,,,,,,,,,,,,,0.1440831,10-20%,,
103,What does it mean to you to be middle class?,1,,,,,,,,,,,,,0.1496159,10-20%,,
104,Climate Change has not Killed anywhere near as many People as Socialism,1,,,,,,,,,,,,,0.14773151,10-20%,,
105,"« Axe » the rich - victorian-style poster, OC – Transcription in comments",0,,,,,,,,,,,,,0.18485123,10-20%,,
106,Is Ginni Thomas a Threat to the Supreme Court?,0,,,,,,,,,,,,,0.16242997,10-20%,,
107,Big Red Scare - FBI documents reveal investigations into communism at Cornell,0,,,,,,,,,,,,,0.189944,10-20%,,
108,Democrats risk committing a serious blunder at Trump’s impeachment trial,0,,,,,,,,,,,,,0.14210184,10-20%,,
109,Tory MP Christian Wakeford Defects to Labour,0,,,,,,,,,,,,,0.10678826,10-20%,,
110,New York Has Repealed A Law That Allows Police To Discriminate Against Trans People And Women Of Color,0,,,,,,,,,,,,,0.11675352,10-20%,,
111,Bernie Sanders Has New Year's Resolution for Progressives: Fight Like Hell in 2022,0,,,,,,,,,,,,,0.11437263,10-20%,,
112,Corporate takeover of multilateralism deals more blows to right to health,0,,,,,,,,,,,,,0.14109905,10-20%,,
113,Can we all agree?,0,,,,,,,,,,,,,0.15545155,10-20%,,
114,stateless-society: How-to institutional knowledge,1,,,,,,,,,,,,,0.14725403,10-20%,,
115,Rescuing a drowning refugee will soon be a more severe crime than actually drowning them,0,,,,,,,,,,,,,0.12632833,10-20%,,
116,'QAnon Shaman' is sentenced to over 3 years in prison for role in Capitol riot,0,,,,,,,,,,,,,0.10399137,10-20%,,
117,Hero’s are remembered but legends never die,0,,,,,,,,,,,,,0.10630974,10-20%,,
118,From 'Feminazis' to 'F***ing B*****s' : The Sexist 'Humor' That Built the Conservative War Room,0,,,,,,,,,,,,,0.112877145,10-20%,,
119,"Steph Curry, H.E.R., Jennifer Lopez and More Join Michelle Obama as Co-Chairs of When We All Vote",0,,,,,,,,,,,,,0.14502208,10-20%,,
120,Gopuff Workers Strike at One of the Startup's Busiest Warehouses,0,,,,,,,,,,,,,0.121542044,10-20%,,
121,Ted Deutch becomes 31st House Democrat to announce retirement from Congress,1,,,,,,,,,,,,,0.19301674,10-20%,,
122,Do you believe that America is going fascist?,0,,,,,,,,,,,,,0.119281344,10-20%,,
123,"lly sunrise movement, a group of young people acted significantly up to the point of sitting in congressional offices. ",0,/traffic.libsyn.com/ec/httpstraffic.libsyn.comsecuredemocracynowdn20200525.mp3destid13815MERGED,53.0,news,politics,government,non-profit,,,,,,,0.19087249,10-20%,,
124,Analysis: What happens if the Supreme Court throws out Roe v. Wade?,0,,,,,,,,,,,,,0.13232619,10-20%,,
125,"Oct 27, 2021 - California's unemployment fraud climbs to $20 billion...",1,,,,,,,,,,,,,0.13657042,10-20%,,
126,Ukrainian Leftist Takes on Western Leftist Takes on Ukraine,0,,,,,,,,,,,,,0.1826989,10-20%,,
127,Any Aussies here who can educate me on the ALP,0,,,,,,,,,,,,,0.12718627,10-20%,,
128,"Nov 30, 2021 - Trial to determine if requiring women board members is legal...",1,,,,,,,,,,,,,0.15876883,10-20%,,
129,US attorney general imposes moratorium on federal executions: The move by Attorney General Merrick Garland is a major reversal in policy from the previous Trump administration,0,,,,,,,,,,,,,0.18447317,10-20%,,
130,The best course of action is direct action 🏴,0,,,,,,,,,,,,,0.15668757,10-20%,,
131,"JoJo Siwa Says ""I'm Just Really Happy"" to Be in LGBTQ Community",0,,,,,,,,,,,,,0.10486976,10-20%,,
132,"Manchin says he ‘cannot vote’ for Democrats’ $2 trillion spending package | The West Virginia Democrat says ‘This is a no,’ potentially spelling doom for the bulk of US efforts to limit greenhouse gas emissions for years",0,,,,,,,,,,,,,0.1624437,10-20%,,
133,"Special election set for Fresno seat left by Devin Nunes. When it will be, how to register (CA-22)",0,,,,,,,,,,,,,0.18612961,10-20%,,
134,"the the role his role in early Hunger Games, his relationship with a young woman in District 12 of all places, which I'm no",1,/traffic.libsyn.com/el/httpstraffic.libsyn.comsecurebombshellBombshell_Ep_89_Mix_5.mp3destid461494MERGED,333.0,history,news,politics,,,,,,,,0.18989891,10-20%,,
135,"The Redistricting Landscape, 2021–22",0,,,,,,,,,,,,,0.19161429,10-20%,,
136,Democrats have tried nothing and are all out of ideas,0,,,,,,,,,,,,,0.11036792,10-20%,,
137,"from surplus populations, created through neoliberal restructuring. ', 'And those alliances crossed party lines. '",0,/archives.kpfa.org/02/httpsarchives.kpfa.orgdata20200603Wed1200.mp3MERGED,174.0,news,politics,,,,,,,,,0.1972064,10-20%,,
138,Florida Gov. DeSantis still refuses to believe in the existence of racist infrastructure,1,,,,,,,,,,,,,0.18826728,10-20%,,
139,"Prison Industrial complex, reading?",0,,,,,,,,,,,,,0.12544101,10-20%,,
140,Kevin McCarthy gets blowback over his handling of Rep. Gosar's violent video scandal: 'A weakling',0,,,,,,,,,,,,,0.19795325,10-20%,,
141,"If there's ever a good enough reason to be a Socialist, it's because of 'people' like these cowards who show up to a Marxist book reading exist.",0,,,,,,,,,,,,,0.19361228,10-20%,,
142,Chatelaine Awards ‘Women of the Year’ to Wet’suwet’en Matriarchs,0,,,,,,,,,,,,,0.14462006,10-20%,,
143,Why the Communist Manifesto doesn't count,0,,,,,,,,,,,,,0.11892121,10-20%,,
144,Thoughts on welfare and minarchism?,1,,,,,,,,,,,,,0.13117002,10-20%,,
145,"an citizen-led initiatives that have fought for justice and won, as daily reports, despite political fatigue and unpr",0,/bradblog.com/ad/httpsbradblog.comaudiobradcast_bradfriedmantrumptwittertantrum_daviddaleyredmap2020_052720.mp3MERGED,387.0,news,politics,society,culture,,,,,,,0.14826924,10-20%,,
146,Trans recruit sues New Orleans Police Department for alleged hiring discrimination,0,,,,,,,,,,,,,0.121956274,10-20%,,
147,Give me a reason why voting for JoJo is better than writing in Ayn Rand.,1,,,,,,,,,,,,,0.19605552,10-20%,,
148,"look to find how we can dismantle elements of white supremacy that permeates that work, and then we'll start to see a whol",0,/traffic.libsyn.com/20/httpstraffic.libsyn.comsecureneedsnointroductionNNI20Pandemic20and20Politics20May2052020.mp3destid3047966MERGED,190.0,news,politics,,,,,,,,,0.18760042,10-20%,,
149,iology in the history of sociology the lead author of a classic book called the Polish peasant in Europe and America that ,1,/www.international.ucla.edu/es/httpwww.international.ucla.edumediapodcastsUnedited_ForumonRemoteResearchPossibilitiesforCNESGraduateStudentsSession1fixkonkg.mp3MERGED,50.0,education,news,politics,,,,,,,,0.10953071,10-20%,,
150,Victor Jara Manifiesto,0,,,,,,,,,,,,,0.17933232,10-20%,,
151,The threat of civil war didn't end with the Trump presidency,0,,,,,,,,,,,,,0.13460477,10-20%,,
152,What political party are you in and why?,0,,,,,,,,,,,,,0.1056026,10-20%,,
153,"Turkish main opposition CHP leader Kemal Kılıçdaroğlu on Dec. 4 vowed to bring “peace, democracy and justice” to Turkey if his party comes to power in the next elections.",0,,,,,,,,,,,,,0.14043719,10-20%,,
154,Opinion | Tucker Carlson's Jan. 6 doc was a new low. Why Fox News doesn't care.,0,,,,,,,,,,,,,0.11195943,10-20%,,
155,Analysis | The ugly Paul Gosar debate,0,,,,,,,,,,,,,0.13282295,10-20%,,
156,North Dakota Lawmaker: I Moved Desks to Escape GOP Colleague’s Harassment,0,,,,,,,,,,,,,0.114917204,10-20%,,
157,What can be done to break the military industrial complex,0,,,,,,,,,,,,,0.14080597,10-20%,,
158,Democrats have precedent for a speedy Supreme Court confirmation,0,,,,,,,,,,,,,0.11229193,10-20%,,
159,German SPD vs. DSA on Housing (Explanation/Background in Comments),0,,,,,,,,,,,,,0.1030804,10-20%,,
160,Billie Eilish on body shaming following paparazzi photos,0,,,,,,,,,,,,,0.16910657,10-20%,,
161,GOP Could Retake the House in 2022 Just by Gerrymandering Four Southern States,0,,,,,,,,,,,,,0.18216132,10-20%,,
162,Sex Work Isn't Empowering,0,,,,,,,,,,,,,0.17309402,10-20%,,
163,U.S. President Biden to lay out Trumps singular responsibility in Jan. 6 attacks,0,,,,,,,,,,,,,0.1917513,10-20%,,
164,"If a working class person claims £100 too much on housing benefit they go to jail. Meanwhile, the law for MPs:",0,,,,,,,,,,,,,0.16503741,10-20%,,
165,Are you a member/volunteer of any party in your country?,0,,,,,,,,,,,,,0.11234932,10-20%,,
166,"ning on an issue that has been close to your heart for decades, and that is the occupied territories, Gaza and the West Ban",0,/traffic.libsyn.com/ec/httpstraffic.libsyn.comsecuredemocracynowdn20200525.mp3destid13815MERGED,258.0,news,politics,government,non-profit,,,,,,,0.10240156,10-20%,,
167,"F.D.A. Will Permanently Allow Abortion Pills by Mail; The decision will broaden access to medication abortion, an increasingly common method, but many conservative states are already mobilizing against it.",0,,,,,,,,,,,,,0.17564923,10-20%,,
168,Israel over Palestine,0,,,,,,,,,,,,,0.13391334,10-20%,,
169,Is homelessness a market failure?,0,,,,,,,,,,,,,0.16293123,10-20%,,
170,This is what accountability looks like: Ex-Cop Kim Potter sentenced to 24 months in Daunte Wright killing.,1,,,,,,,,,,,,,0.15629742,10-20%,,
171,Alleged Basque Activist Arrested in Venezuela,0,,,,,,,,,,,,,0.14026196,10-20%,,
172,"My partner's sister is at a Catholic college in the UK. As part of their mandated ""morning worship"" they were recently shown an anti-Palestine pro-Israel Prager U video.",0,,,,,,,,,,,,,0.15660934,10-20%,,
173,Oath Keepers leader Stewart Rhodes ordered to be jailed until trial on seditious conspiracy,0,,,,,,,,,,,,,0.15221065,10-20%,,
174,Our Heroine Goes To Court (with commentary) [Full Playlist],1,,,,,,,,,,,,,0.105887905,10-20%,,
175,Joe Rogan and Jordan Peterson Wax Idiotic on Climate Change and What It Means to Be Black,0,,,,,,,,,,,,,0.17977172,10-20%,,
176,"As an Intersex Child, I Was Told I Didn’t Exist",0,,,,,,,,,,,,,0.1413372,10-20%,,
177,What is it with liberals defending fascism?,0,,,,,,,,,,,,,0.11993736,10-20%,,
178,Maine voters pass the nation’s first ‘right to food’ amendment | Supporters of the amendment to the Maine Constitution positioned it as a chance for Mainers to take control of the food supply back from large landowners and giant retailers.,0,,,,,,,,,,,,,0.14010273,10-20%,,
179,The Covid stimulus bill alone won't save Democrats in 2022,0,,,,,,,,,,,,,0.18628466,10-20%,,
180,Women Directed Record Number of 2020 Movies,0,,,,,,,,,,,,,0.13067965,10-20%,,
181,Should the swastika be banned?,1,,,,,,,,,,,,,0.17232478,10-20%,,
182,Are the european welfare states sustainable?,0,,,,,,,,,,,,,0.110635266,10-20%,,
183,"rs lit fires and destroyed building fronts. "", 'Solidarity actions brought thousands to the streets of Los Angeles, Ph",0,/archives.kpfa.org/02/httpsarchives.kpfa.orgdata20200529Fri0600.mp3MERGED,125.0,news,politics,,,,,,,,,0.13468516,10-20%,,
184,how is a feminist that agrees with a lot of liberal ideas but also a lot of radical ideas called?,0,,,,,,,,,,,,,0.12077251,10-20%,,
185,India: Maoist rebels kill 70 police troops in ambush   - Telegraph,0,,,,,,,,,,,,,0.13878416,10-20%,,
186,I'm No Communist - Based song that goes hard today,1,,,,,,,,,,,,,0.1886943,10-20%,,
187,US Puppet coup leader arrested in Honduras as US requests extradition on drugs charges,0,,,,,,,,,,,,,0.102838255,10-20%,,
188,Take a page from the GOP playbook to counter Trump,0,,,,,,,,,,,,,0.12098055,10-20%,,
189,JSTOR offering three of bell hooks' works for free,0,,,,,,,,,,,,,0.10486257,10-20%,,
190,Republicans maintain advantage in generic midterm ballot,1,,,,,,,,,,,,,0.18407564,10-20%,,
191,Soldier with ‘Hitler mustache’ is first to be thrown out of military after Capitol riot charges,0,,,,,,,,,,,,,0.12857276,10-20%,,
192,"eported on this too, talked about how Texas Democrat Rep, Joaquin Castro was very much against Governor Abbott's order",1,/traffic.libsyn.com/es/httpstraffic.libsyn.comsecureholdthesetruthswithdancrenshaw62_Why_Does_Reopening_Polarize_Republicans_and_Democrats.mp3destid1849868MERGED,73.0,news,politics,society,culture,,,,,,,0.11829723,10-20%,,
193,"re have been considerable, horrible outbreaks in factories where social distancing wasn't respected, where persona",0,/anchor.fm/2t/httpsanchor.fms16dc560cpodcastplay13649096https3A2F2Fd3ctxlq1ktw2nl.cloudfront.net2Fproduction2F20204122F724956354410024569f03faa57d.mp3MERGED,4.0,news,politics,,,,,,,,,0.19408636,10-20%,,
194,"On Roe v. Wade's 49th Anniversary, Here's All The Ways We Protect It",0,,,,,,,,,,,,,0.19579369,10-20%,,
195,Democrat Sheila Cherfilus-McCormick wins Florida special election to succeed Alcee Hastings,0,,,,,,,,,,,,,0.14242199,10-20%,,
196,Adding justices or term limits sparks sharp debate on Supreme Court commission,0,,,,,,,,,,,,,0.18811099,10-20%,,
197,Twitter suspends popular account that highlighted liberal hypocrisy,1,,,,,,,,,,,,,0.139013,10-20%,,
198,Poll: Stark racial gap in views on Black woman on high court,1,,,,,,,,,,,,,0.12259108,10-20%,,
199,Coming soon: Proxy War!,0,,,,,,,,,,,,,0.17474166,10-20%,,
200,I want this too,0,,,,,,,,,,,,,0.29880288,20-30%,,
201,"For all the accusations we hear, it feels rare when a Senator is arrested (1905?) - This image outlines some of the reasons why it can be so difficult holding them accountable.",0,,,,,,,,,,,,,0.25174782,20-30%,,
202,Climate investing 'boycott bills' flood state capitals,0,,,,,,,,,,,,,0.28139147,20-30%,,
203,Thoughts on George Washington,1,,,,,,,,,,,,,0.27399737,20-30%,,
204,". ', ""And this program was ended in 1964 during the Johnson administration because the labor union, like Cesar Chavez's ",1,/dts.podtrac.com/ed/httpsdts.podtrac.comredirect.mp3api.spreaker.comdownloadepisode47748704zadek_05_31_20_fullshow.mp3MERGED,166.0,news,politics,government,commentary,,,,,,,0.29933232,20-30%,,
205,"Many of the truckers involved in the Ottawa protests lost their jobs for various reasons. I find it rather interesting that while the government wasn't actually preventing them from working, their employers, however, have absolute power, without even the possibility of appeal, over their livelihood.",0,,,,,,,,,,,,,0.25783187,20-30%,,
206,"Cyber Ninjas, the firm hired to conduct an election review in Arizona, ordered to pay $50,000 a day in sanctions",0,,,,,,,,,,,,,0.23108181,20-30%,,
207,ut for these and Some of the guidelines during the era of HIV the HIV pandemic The guidelines got White House review as wel,0,/podcasts.captivate.fm/ea/httpspodcasts.captivate.fmmedia689e2b583a71436cba1f0da6fc99c6e2cdrepisode2final051520.mp3MERGED,163.0,news,politics,government,society,culture,,,,,,0.2665123,20-30%,,
208,"Ronald Reagen is the single worst thing to happen to the United States, and the 8 years he served as President can widely be attributed to the downfall of the attainable American Dream",0,,,,,,,,,,,,,0.27970514,20-30%,,
209,"The world needs cooperation, not cold war",0,,,,,,,,,,,,,0.27414834,20-30%,,
